trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.05, 'e': 0.21224797382674304}",25,0,-82.04955878610978,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
32,False,"{'a': 0.05, 'e': 0.20189651799465538}",25,14,-24.781610643009053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.05, 'e': 0.19204990862075408}",20,4,2.3457935638469722,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.05, 'e': 0.1826835240527346}",20,3,11.014849214838563,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.17377394345044514}",20,12,15.064255256075587,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.05, 'e': 0.16529888822158653}",30,8,-77.1983229588922,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
37,False,"{'a': 0.05, 'e': 0.1572371663136276}",35,0,-13.11629524225049,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
38,False,"{'a': 0.05, 'e': 0.14956861922263504}",25,2,27.591266376123798,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.05, 'e': 0.14227407158651353}",20,7,-18.430134786155335,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
40,False,"{'a': 0.05, 'e': 0.1353352832366127}",25,17,14.079154531918885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.05, 'e': 0.12873490358780418}",20,4,-11.527178903638614,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.05, 'e': 0.1224564282529819}",20,0,-25.12794860273867,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.05, 'e': 0.11648415777349697}",30,3,-20.89832903746271,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 1}",1
44,False,"{'a': 0.05, 'e': 0.11080315836233387}",25,3,-23.49633557791398,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.05, 'e': 0.10539922456186433}",30,23,15.115612467437197,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.05, 'e': 0.1002588437228037}",35,21,23.181382551043324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.05, 'e': 0.09536916221554961}",25,17,3.0634298818447396,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.05, 'e': 0.09071795328941247}",25,0,-1.6225171960280296,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
